GTID,Date,Country,City,Perpetrator_group,fatalities,injured,target_type,attack_type,weapon_type
201909180024,2019-09-18,Nigeria,Maiduguri,Boko Haram,9,Unknown,Private Citizens & Property,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault"
201909180020,2019-09-18,Nigeria,Wukari district,Unknown,1,0,Business,Sub-Saharan Africa,Armed Assault
201909170015,2019-09-17,Cameroon,Manawadji,Boko Haram,10,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201909160010,2019-09-16,Cameroon,Guzang,Separatists,1,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201909150024,2019-09-15,Nigeria,Kadunu,Unknown,1,1,Private Citizens & Property,Sub-Saharan Africa,Assassination
201909150011,2019-09-14,Cameroon,Bamenda,Separatists,Unknown,Unknown,"Telecommunication,Journalists & Media",Sub-Saharan Africa,Hostage Taking (Kidnapping)
201909150007,2019-09-15,Nigeria,Maiduguri,Boko Haram,1,0,"Military,Educational Institution",Sub-Saharan Africa,"Bombing/Explosion,Armed Assault"
201909140008,2019-09-14,Cameroon,Soueram,Boko Haram,6,9,"Military,Police",Sub-Saharan Africa,Facility/Infrastructure Attack
201909130016,2019-09-13,Nigeria,Magumeri,Boko Haram,1,0,"Private Citizens & Property,Military",Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
201909130014,2019-09-13,Nigeria,Gajiram,Boko Haram,2,0,"Private Citizens & Property,Military",Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
201909130013,2019-09-13,Nigeria,Gajiganna,Boko Haram,2,0,"Private Citizens & Property,Military",Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
201909130012,2019-09-13,Nigeria,Gubio,Boko Haram,2,0,"Private Citizens & Property,Military,Terrorists/Non-state Militia",Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
201909130010,2019-09-13,Cameroon,Kerawa,Boko Haram,2,0,Private Citizens & Property,Sub-Saharan Africa,Unknown
201909110021,2019-09-11,Nigeria,Yongogba,Jukun militia (suspected),2,0,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
201909100017,2019-09-10,Niger,Tongo Tongo,Unknown,0,0,Government (Diplomatic),Sub-Saharan Africa,Hijacking
201909090019,2019-09-09,Nigeria,Shamawa,Boko Haram,5,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201909090013,2019-09-09,Cameroon,Limbe,Separatists,Unknown,Unknown,Transportation,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201909090010,2019-09-09,Nigeria,Garunda,Boko Haram,9,Unknown,Military,Sub-Saharan Africa,Armed Assault
201909080024,2019-09-08,Cameroon,Kolofata,Boko Haram,4,0,Private Citizens & Property,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Facility/Infrastructure Attack"
201909080021,2019-09-08,Nigeria,Nding,Unknown,2,5,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201909070028,2019-09-07,Cameroon,Chechebe,Boko Haram (suspected),Unknown,Unknown,Military,Sub-Saharan Africa,Unknown
201909060006,2019-09-06,Nigeria,Kamuya,Boko Haram,1,3,Military,Sub-Saharan Africa,Armed Assault
201909050021,2019-09-05,Nigeria,Konduga district,Boko Haram,0,Unknown,Government (General),Sub-Saharan Africa,Assassination
201909050020,2019-09-05,Nigeria,Gajiram,Boko Haram,5,0,"Military,Police",Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack"
201909050005,2019-09-05,Nigeria,Akoko-Edo district,Fulani extremists (suspected),1,1,Educational Institution,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201909040014,2019-09-04,Nigeria,Lokoja,Unknown,1,0,"Government (General),Private Citizens & Property",Sub-Saharan Africa,Armed Assault
201909040013,2019-09-04,Nigeria,Gajiram,Boko Haram,1,0,"Private Citizens & Property,Police",Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack"
201909040012,2019-09-04,Nigeria,Vatt,Unknown,2,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201909030028,2019-09-03,Cameroon,Buea,Separatists (suspected),0,0,Journalists & Media,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201909030020,2019-09-03,Nigeria,Ibadan,Unknown,0,Unknown,Business,Sub-Saharan Africa,"Unarmed Assault,Facility/Infrastructure Attack"
201909020021,2019-09-02,Cameroon,Akum,Separatists,0,0,Other,Sub-Saharan Africa,Armed Assault
201909020012,2019-09-02,Nigeria,Agbogugu,Unknown,0,0,Violent Political Party,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201909020010,2019-08-31,Niger,Nguigmi district,Islamic State in the Greater Sahara (ISGS),0,0,Unknown,Sub-Saharan Africa,Bombing/Explosion
201909010009,2019-09-01,Nigeria,Takum,Unknown,26,Unknown,"Private Citizens & Property,Military",Sub-Saharan Africa,Armed Assault
201908310026,2019-08-23,Cameroon,Bamenda,Separatists (suspected),Unknown,Unknown,Educational Institution,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201908310016,2019-08-31,Nigeria,Gidan Waya,Boko Haram,4,0,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201908310007,2019-08-31,Nigeria,Yimurmunza,Boko Haram,0,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201908310004,2019-08-31,Cameroon,Donga-Mantung district,Separatists,0,0,Government (General),Sub-Saharan Africa,Hijacking
201908300021,2019-08-30,Nigeria,Ganawuri,Fulani extremists,5,1,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
201908300016,2019-08-30,Nigeria,Balumri,Boko Haram,4,Unknown,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201908300002,2019-08-30,Nigeria,Gasarwa,Boko Haram,8,0,Military,Sub-Saharan Africa,Armed Assault
201908290010,2019-08-29,Nigeria,Balumri,Boko Haram,2,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201908290008,2019-08-29,Nigeria,Kufai Amadu,Tiv Militia,1,0,Religious Figures/Institutions,Sub-Saharan Africa,Armed Assault
201908280019,2019-08-28,Cameroon,Bamenda,Ambazonia Defense Forces (ADF),0,0,Tourists,Sub-Saharan Africa,Armed Assault
201908270014,2019-08-27,Nigeria,Wajirko,Boko Haram,11,3,Business,Sub-Saharan Africa,Armed Assault
201908270013,2019-08-27,Cameroon,Unknown,Separatists,3,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201908270012,2019-08-27,Nigeria,Bitta,Boko Haram,Unknown,Unknown,Military,Sub-Saharan Africa,Unknown
201908250019,2019-08-25,Nigeria,Ituku,Fulani extremists (suspected),0,0,"Government (General),Private Citizens & Property",Sub-Saharan Africa,Hostage Taking (Kidnapping)
201908250007,2019-08-25,Nigeria,Enugu South district,Unknown,1,5,Police,Sub-Saharan Africa,Armed Assault
201908240006,2019-08-24,Nigeria,Gajiram,Boko Haram,4,0,Private Citizens & Property,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack"
201908230007,2019-08-23,Niger,Gueskerou,Boko Haram,12,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201908220010,2019-08-22,Nigeria,Kaleri-Abdule,Boko Haram,0,0,"Business,Private Citizens & Property",Sub-Saharan Africa,Facility/Infrastructure Attack
201908220009,2019-08-22,Nigeria,Wamuri,Boko Haram,0,0,"Business,Private Citizens & Property",Sub-Saharan Africa,Facility/Infrastructure Attack
201908220008,2019-08-22,Nigeria,Borri,Boko Haram,0,0,"Business,Private Citizens & Property",Sub-Saharan Africa,Facility/Infrastructure Attack
201908220005,2019-08-22,Cameroon,Buea,Separatists,Unknown,Unknown,Educational Institution,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201908210011,2019-08-21,Nigeria,Foron,Fulani extremists (suspected),Unknown,Unknown,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
201908210010,2019-08-21,Nigeria,Emene,Fulani extremists,1,0,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201908210008,2019-08-21,Cameroon,Kumbo,Separatists,0,0,Religious Figures/Institutions,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201908210005,2019-08-21,Nigeria,Magumeri,Boko Haram,0,Unknown,"Military,Private Citizens & Property,Terrorists/Non-state Militia",Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
201908210004,2019-08-21,Nigeria,Gubio,Boko Haram,1,Unknown,"Military,Private Citizens & Property,Terrorists/Non-state Militia",Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
201908200009,2019-08-20,Cameroon,Dabanga,Boko Haram,1,Unknown,Transportation,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201908190009,2019-08-19,Nigeria,Molai,Boko Haram,3,0,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201908180027,2019-08-18,Nigeria,Gajiram,Boko Haram,4,0,Private Citizens & Property,Sub-Saharan Africa,"Bombing/Explosion,Facility/Infrastructure Attack"
201908180011,2019-08-18,Nigeria,Mogola,Boko Haram,4,0,Military,Sub-Saharan Africa,Armed Assault
201908180010,2019-08-18,Nigeria,Buni Gari,Boko Haram (suspected),0,2,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
201908180009,2019-08-18,Nigeria,Unknown,Boko Haram,33,4,"Military,Military",Sub-Saharan Africa,Armed Assault
201908170008,2019-08-17,Nigeria,Mbasar Gasema,Unknown,5,Unknown,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201908170007,2019-08-17,Nigeria,Ikyulav Tiev,Unknown,8,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201908170006,2019-08-17,Nigeria,Tongov,Unknown,9,Unknown,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201908150012,2019-08-15,Cameroon,Bamenda,Separatists,1,0,Military,Sub-Saharan Africa,Armed Assault
201908150011,2019-08-15,Cameroon,Kumba,Separatists,0,7,Military,Sub-Saharan Africa,Armed Assault
201908150009,2019-08-16,Cameroon,Ibal,Separatists,0,0,Religious Figures/Institutions,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201908150008,2019-08-15,Nigeria,Enugu,Fulani extremists,0,0,Religious Figures/Institutions,Sub-Saharan Africa,Armed Assault
201908140010,2019-08-14,Nigeria,Choba,Unknown,1,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201908140008,2019-08-14,Chad,Kaiga,Boko Haram,6,5,"Police,Military,Private Citizens & Property",Sub-Saharan Africa,Bombing/Explosion
201908140007,2019-08-14,Nigeria,Dikwa,Unknown,Unknown,Unknown,Private Citizens & Property,Sub-Saharan Africa,Unknown
201908140006,2019-08-14,Nigeria,Mammanti,Boko Haram,3,Unknown,"Military,Private Citizens & Property",Sub-Saharan Africa,Armed Assault
201908140005,2019-08-14,Nigeria,Oturkpo district,Unknown,0,0,Religious Figures/Institutions,Sub-Saharan Africa,Hijacking
201908130013,2019-08-13,Nigeria,Suku,Fulani extremists,2,0,Terrorists/Non-state Militia,Sub-Saharan Africa,Hostage Taking (Barricade Incident)
201908120006,2019-08-12,Nigeria,Ruma,Unknown,1,5,Private Citizens & Property,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault"
201908100018,2019-08-10,Nigeria,Mallam Fatori,Boko Haram,4,0,Military,Sub-Saharan Africa,Bombing/Explosion
201908100009,2019-08-10,Nigeria,Dikwa district,Boko Haram,0,0,Military,Sub-Saharan Africa,Unknown
201908100005,2019-08-10,Nigeria,Gubio,Boko Haram,14,Unknown,"Military,Private Citizens & Property",Sub-Saharan Africa,Armed Assault
201908090010,2019-08-09,Cameroon,Ntumbaw,Separatists (suspected),Unknown,Unknown,Government (General),Sub-Saharan Africa,Hostage Taking (Kidnapping)
201908090004,2019-08-11,Nigeria,Ngwom,Boko Haram,2,1,Private Citizens & Property,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack"
201908080015,2019-08-08,Nigeria,Ikot Obio Nso,Fulani extremists,1,1,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201908070012,2019-08-07,Nigeria,Kofa Ahmadu,Tiv Militia,0,2,Government (General),Sub-Saharan Africa,Assassination
201908060013,2019-08-06,Nigeria,Mafa,Boko Haram,5,8,Religious Figures/Institutions,Sub-Saharan Africa,Bombing/Explosion
201908060010,2019-08-06,Cameroon,Kikaikom,Separatists,0,1,Religious Figures/Institutions,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201908060009,2019-08-06,Nigeria,Kotori,Boko Haram,0,0,"Business,Military,Private Citizens & Property",Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
201908050017,2019-08-05,Nigeria,Akoko South-East district,Unknown,1,0,Police,Sub-Saharan Africa,Armed Assault
201908050001,2019-08-05,Nigeria,Monguno,Boko Haram,5,Unknown,"Military,Private Citizens & Property",Sub-Saharan Africa,Armed Assault
201908040012,2019-08-04,Nigeria,Unknown,Fulani extremists,1,0,Religious Figures/Institutions,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201908040006,2019-08-04,Nigeria,Awgu district,Fulani extremists,0,0,Government (General),Sub-Saharan Africa,Assassination
201908040005,2019-08-04,Cameroon,Penda Mboko,Separatists,2,0,"Military,Private Citizens & Property",Sub-Saharan Africa,Armed Assault
201908040003,2019-08-04,Nigeria,Agbogugu,Fulani extremists,0,0,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201908030021,2019-08-03,Nigeria,New Owerri,Boko Haram (suspected),0,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201908020019,2019-07-31,Nigeria,Igbo-eze North district,Fulani extremists,1,0,Government (Diplomatic),Sub-Saharan Africa,Hostage Taking (Kidnapping)
201908020012,2019-08-02,Nigeria,Barnawa,Unknown,Unknown,Unknown,Educational Institution,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201908010039,2019-08-01,Nigeria,Ungawn Gamo,Fulani extremists,1,2,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201908010037,2019-08-01,Cameroon,Guederou,Boko Haram,4,Unknown,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201908010034,2019-08-01,Nigeria,Awgu district,Fulani extremists,1,0,Religious Figures/Institutions,Sub-Saharan Africa,Armed Assault
201908010032,2019-08-02,Nigeria,Ogbere,Fulani extremists,0,0,"Private Citizens & Property,Religious Figures/Institutions",Sub-Saharan Africa,Hostage Taking (Kidnapping)
201907310050,2019-07-31,Nigeria,Mainok,Boko Haram,0,0,Military,Sub-Saharan Africa,Armed Assault
201907310049,2019-07-31,Nigeria,Afikpo South district,Unknown,0,3,"Journalists & Media,Journalists & Media",Sub-Saharan Africa,Hostage Taking (Barricade Incident)
201907300025,2019-07-30,Cameroon,Kalagari,Boko Haram,0,3,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201907300007,2019-07-30,Nigeria,Beni Shiek,Boko Haram,Unknown,Unknown,Military,Sub-Saharan Africa,Armed Assault
201907300005,2019-07-30,Nigeria,Kesawa,Boko Haram,Unknown,Unknown,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
201907290004,2019-07-29,Nigeria,Baga,Boko Haram,11,5,"Military,Military",Sub-Saharan Africa,"Bombing/Explosion,Armed Assault"
201907280013,2019-07-28,Cameroon,Double,Boko Haram,1,0,Private Citizens & Property,Sub-Saharan Africa,Unknown
201907280012,2019-07-28,Cameroon,Kalagari,Boko Haram,2,0,Private Citizens & Property,Sub-Saharan Africa,Unknown
201907270005,2019-07-27,Nigeria,Lamisula Bukar Bulala,Boko Haram,Unknown,Unknown,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201907270004,2019-07-27,Nigeria,Zawa,Boko Haram,Unknown,Unknown,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201907270003,2019-07-27,Nigeria,Badu,Boko Haram,70,10,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201907250006,2019-07-25,Nigeria,Dalori,Boko Haram,3,24,"Private Citizens & Property,Terrorists/Non-state Militia",Sub-Saharan Africa,"Bombing/Explosion,Armed Assault"
201907240020,2019-07-28,Nigeria,Idoani,Fulani extremists (suspected),0,0,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201907230006,2019-07-23,Nigeria,Dikwa,Boko Haram,Unknown,1,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201907230001,2019-07-23,Nigeria,Ajebo,Fulani extremists (suspected),0,Unknown,"Business,Private Citizens & Property",Sub-Saharan Africa,Hijacking
201907220034,2019-07-22,Nigeria,Azagbene,Unknown,2,0,Military,Sub-Saharan Africa,Unknown
201907220022,2019-07-22,Nigeria,Unknown,Unknown,2,0,Military,Sub-Saharan Africa,Armed Assault
201907210019,2019-07-21,Cameroon,Eyomujock,Separatists,1,0,Police,Sub-Saharan Africa,"Bombing/Explosion,Armed Assault"
201907210004,2019-07-21,Nigeria,Zango,Fulani extremists (suspected),10,5,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
201907210001,2019-07-21,Nigeria,Ovia North-East district,Fulani extremists (suspected),0,0,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201907190021,2019-07-19,Cameroon,Bali,Separatists,0,3,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201907190016,2019-07-18,Nigeria,Nkanu East district,Fulani extremists (suspected),0,2,Religious Figures/Institutions,Sub-Saharan Africa,Armed Assault
201907190002,2019-07-19,Nigeria,Chibok district,Boko Haram,2,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201907180010,2019-07-18,Cameroon,Idenau,Separatists (suspected),Unknown,Unknown,Business,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201907180004,2019-07-18,Nigeria,Kennari,Boko Haram,6,Unknown,NGO,Sub-Saharan Africa,Hijacking
201907170030,2019-07-17,Nigeria,Damaturu district,Boko Haram,21,0,Military,Sub-Saharan Africa,Unknown
201907170023,2019-07-17,Cameroon,Bamenda,Unknown,0,0,Business,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201907170012,2019-07-17,Cameroon,Bamenda,Unknown,0,0,"Private Citizens & Property,Private Citizens & Property",Sub-Saharan Africa,Hostage Taking (Kidnapping)
201907170005,2019-07-17,Nigeria,Jakana,Boko Haram,16,Unknown,Military,Sub-Saharan Africa,Armed Assault
201907170002,2019-07-17,Nigeria,Muna Dalti,Boko Haram,6,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201907160014,2019-07-16,Nigeria,Ovia North-East district,Fulani extremists,1,0,"Military,Transportation",Sub-Saharan Africa,Hostage Taking (Kidnapping)
201907150017,2019-07-15,Nigeria,Miango,Fulani extremists,1,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201907150007,2019-07-15,Niger,Inates,Islamic State in the Greater Sahara (ISGS),1,0,Private Citizens & Property,Sub-Saharan Africa,Assassination
201907140020,2019-07-14,Nigeria,Tafigana,Fulani extremists,2,0,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201907140016,2019-07-14,Nigeria,Choba,Unknown,0,0,Private Citizens & Property,Sub-Saharan Africa,Bombing/Explosion
201907140014,2019-07-14,Nigeria,Choba,Unknown,1,0,Private Citizens & Property,Sub-Saharan Africa,Assassination
201907140013,2019-07-14,Nigeria,Choba,Unknown,1,1,Private Citizens & Property,Sub-Saharan Africa,Assassination
201907140002,2019-07-14,Nigeria,Badu,Boko Haram,11,Unknown,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201907130019,2019-07-13,Nigeria,Tsokundi,Tiv Militia,6,5,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
201907130012,2019-07-12,Cameroon,Boyo district,Separatists,Unknown,Unknown,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201907130002,2019-07-13,Nigeria,Muchalla,Unknown,1,0,Government (General),Sub-Saharan Africa,Hostage Taking (Kidnapping)
201907120016,2019-07-12,Nigeria,Akure,Fulani extremists,0,0,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201907120015,2019-07-12,Nigeria,Akoko North-West district,Fulani extremists,0,0,Private Citizens & Property,Sub-Saharan Africa,Assassination
201907120001,2019-07-12,Nigeria,Ore,Fulani extremists,1,Unknown,"Private Citizens & Property,Private Citizens & Property",Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault"
201907070016,2019-07-07,Nigeria,Pawwa,Unknown,2,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201907070015,2019-07-07,Nigeria,Dan Sabau,Unknown,2,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201907070014,2019-07-07,Nigeria,Makers,Unknown,2,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201907040005,2019-07-04,Nigeria,Chibok,Unknown,1,3,Military,Sub-Saharan Africa,Bombing/Explosion
201907030045,2019-07-04,Cameroon,Ekpambiri,Separatists,Unknown,Unknown,Military,Sub-Saharan Africa,Armed Assault
201907030011,2019-07-03,Nigeria,Gajiganna,Boko Haram,Unknown,Unknown,Military,Sub-Saharan Africa,Armed Assault
201907010041,2019-07-01,Nigeria,Kwande district,Unknown,1,0,Government (General),Sub-Saharan Africa,Assassination
201907010013,2019-07-01,Niger,Inates,Boko Haram,20,Unknown,Military,Sub-Saharan Africa,"Bombing/Explosion,Armed Assault"
201907010009,2019-07-01,Nigeria,Port Harcourt,Unknown,2,0,Police,Sub-Saharan Africa,Armed Assault
201907010007,2019-07-01,Nigeria,Yenegoa district,Unknown,4,2,Police,Sub-Saharan Africa,Armed Assault
201906290023,2019-06-29,Nigeria,Egoro Naoka,Fulani extremists (suspected),0,0,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201906280011,2019-06-28,Cameroon,Bamenda,Ambazonia Defense Forces (ADF),0,2,Government (General),Sub-Saharan Africa,Hostage Taking (Kidnapping)
201906260031,2019-06-24,Nigeria,Kukawa district,Boko Haram,18,Unknown,"Military,Private Citizens & Property",Sub-Saharan Africa,Armed Assault
201906260003,2019-06-26,Nigeria,Goniri,Boko Haram,Unknown,Unknown,Military,Sub-Saharan Africa,Armed Assault
201906250045,2019-06-25,Nigeria,Koton-Karfe district,Fulani extremists (suspected),4,Unknown,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201906250044,2019-06-25,Nigeria,Koton-Karfe district,Fulani extremists (suspected),3,Unknown,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201906250019,2019-06-25,Cameroon,Njinikejem,Separatists,0,0,Religious Figures/Institutions,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201906240029,2019-06-24,Nigeria,Mafa,Boko Haram,3,Unknown,"Military,Private Citizens & Property",Sub-Saharan Africa,Armed Assault
201906240023,2019-06-24,Nigeria,Kaula,Boko Haram,9,0,Private Citizens & Property,Sub-Saharan Africa,Facility/Infrastructure Attack
201906240022,2019-06-24,Nigeria,Ngamgam,Boko Haram,20,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201906230011,2019-06-22,Nigeria,Wala,Boko Haram,2,0,"Military,Private Citizens & Property",Sub-Saharan Africa,Armed Assault
201906220022,2019-06-22,Cameroon,Unknown,Boko Haram,1,0,Military,Sub-Saharan Africa,Unknown
201906220021,2019-06-22,Nigeria,Wala,Unknown,0,0,Unknown,Sub-Saharan Africa,Bombing/Explosion
201906210019,2019-06-21,Chad,Ngouboua,Boko Haram,8,13,"Military,Police",Sub-Saharan Africa,Unknown
201906210011,2019-06-20,Nigeria,Otuocha,Unknown,0,0,Police,Sub-Saharan Africa,Bombing/Explosion
201906200012,2019-06-20,Nigeria,Gyenku,Jukun militia,5,1,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
201906190005,2019-06-18,Niger,Niamey,Boko Haram,2,2,Police,Sub-Saharan Africa,Armed Assault
201906170039,2019-06-17,Nigeria,Monguno district,Boko Haram,5,0,Military,Sub-Saharan Africa,Unknown
201906170037,2019-06-17,Nigeria,Kikoba,Fulani extremists,0,0,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
201906170036,2019-06-17,Nigeria,Ungwan Rimi,Fulani extremists,3,Unknown,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
201906170035,2019-06-17,Nigeria,Rafinkada,Fulani extremists (suspected),7,0,Private Citizens & Property,Sub-Saharan Africa,Unknown
201906170032,2019-06-17,Nigeria,Gajiram,Boko Haram,Unknown,Unknown,"Business,Military,Terrorists/Non-state Militia",Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
201906170031,2019-06-17,Nigeria,Gajiram,Boko Haram,25,Unknown,Military,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault"
201906170028,2019-06-17,Nigeria,Kangboro,Fulani extremists,4,Unknown,"Private Citizens & Property,Military",Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
201906170018,2019-06-17,Nigeria,Janibanibu,Fulani extremists,1,Unknown,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
201906170001,2019-06-16,Nigeria,Mandarari,Boko Haram,34,41,"Business,Business",Sub-Saharan Africa,Bombing/Explosion
201906160018,2019-06-16,Nigeria,Akoko-Edo district,Fulani extremists (suspected),0,0,Religious Figures/Institutions,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201906160009,2019-06-16,Cameroon,Mamfe,Separatists,4,6,Police,Sub-Saharan Africa,Bombing/Explosion
201906150030,2019-06-15,Cameroon,Babessi,Separatists,Unknown,Unknown,Government (General),Sub-Saharan Africa,Hostage Taking (Kidnapping)
201906150029,2019-06-15,Nigeria,Maya,Fulani extremists,0,0,Religious Figures/Institutions,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201906150028,2019-06-15,Niger,Bankilare,Islamic State in the Greater Sahara (ISGS),1,0,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201906150018,2019-06-15,Nigeria,Ganari,Boko Haram,6,0,Private Citizens & Property,Sub-Saharan Africa,Unknown
201906150017,2019-06-15,Nigeria,Bundi,Boko Haram,7,0,Private Citizens & Property,Sub-Saharan Africa,Unknown
201906150011,2019-06-15,Nigeria,Damasak,Boko Haram,Unknown,Unknown,Military,Sub-Saharan Africa,Unknown
201906130018,2019-06-13,Cameroon,Bambili,Unknown,Unknown,Unknown,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201906120017,2019-06-12,Nigeria,Kareto,Boko Haram,Unknown,Unknown,Military,Sub-Saharan Africa,Unknown
201906110014,2019-06-11,Nigeria,Osi,Fulani extremists,0,0,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201906090034,2019-06-09,Nigeria,Bokkos,Fulani extremists,1,1,Educational Institution,Sub-Saharan Africa,"Hostage Taking (Barricade Incident),Armed Assault"
201906090024,2019-06-09,Nigeria,Akure North district,Fulani extremists,0,0,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
201906090016,2019-06-09,Cameroon,Darak,Boko Haram,101,9,"Military,Military,Private Citizens & Property",Sub-Saharan Africa,Armed Assault
201906080026,2019-06-08,Cameroon,Ekona,Separatists,8,Unknown,"Private Citizens & Property,Military",Sub-Saharan Africa,Armed Assault
